,0
Heo Ji Won,"['Different Dreams', 'Your Honor', 'Strongest Deliveryman', 'Secret', 'Love Cells']"
Heo Ji Woong,"['20th Century Boy and Girl', 'My Wife’s Having an Affair this Week', 'Kill Me, Heal Me', 'It’s Okay, That’s Love']"
Heo Joon Suk,"['Fates and Furies', 'I Picked up a Star on the Road', 'Nothing to Lose', 'While You Were Sleeping', 'Suspicious Partner', 'Beautiful Mind', 'Entertainer', 'Mrs. Cop 2', 'Six Flying Dragons', 'Missing Noir M', 'The Girl Who Can See Smells', 'Stay Still', 'Greatest Marriage', 'The Woman Who Married Three Times', 'Outlasting Happiness', 'The King of Dramas', 'Tasty Life', 'Dr. Champ', 'The Miracle of Love', 'Oh! My Lady', 'Obstetrics and Gynecology Doctors', 'Jejoongwon', 'Dream']"
Heo June,['You Will Love Me']
Heo Jung Do,"['Time', 'Something in the Rain', 'Rebel: Thief Who Stole the People', 'Solomon’s Perjury', 'W', 'Memory', 'Mrs. Cop 2', 'Mrs. Cop', 'Heard It Through the Grapevine', 'Love & Secret', 'Secret Love Affair', 'The End of the World']"
Heo Jung Kyu,"['Nothing to Lose', 'I Love You From Today', 'Goddess of Marriage', 'Korean Peninsula', 'Brain', 'The Princess’ Man']"
Heo Kyung Hwan,"['The Queen of Office', 'Boys Before Flowers']"
Heo Sung Tae,"['Different Dreams', 'Big Forest', 'Your Honor', 'Cross', 'Witch’s Court', 'Queen For Seven Days', 'Tunnel', 'Saimdang, Light’s Diary']"
Heo Tae Hee,"['Spring Turns to Spring', 'Let’s Hold Hands Tightly and Watch The Sunset', 'Black', 'Entourage', 'Jackpot', 'Miss Korea', 'Crazy Love', 'Golden Time', 'I Need Romance 2012', 'My Daughter the Flower', 'Ojakgyo Brothers(KBS2, 2011', 'I Need Romance', 'Romance Town', 'My Princess', 'Athena: Goddess of War', 'Golden Fish', 'Coffee House', 'Pasta', 'Take Care of the Young Lady', 'White Lies', 'City of Glass', 'Strongest Chil Woo', 'Before and After: Plastic Surgery Clinic', 'Super Rookie']"
Heo Young Saeng,"['SS50', 'I Need a Fairy']"
Hero JaeJoong @ Kim Jae Joong,"['JY', 'TVX', 'Manhole: Feel So Good', 'Spy', 'Triangle', 'Time Slip Dr. Jin', 'Protect the Boss', 'Vacation', 'Heaven’s Postman', '2012 MBC Drama Award', '2011 SBS Drama Award']"
Hong Dong Young,"['Mama Fairy and the Woodcutter', 'Money Flower', 'Unni Is Alive', 'Blow Breeze', 'Cinderella and the Four Knights', 'Moon Lovers: Scarlet Heart Ryeo', 'Lucky Romance', 'Five Children', 'My Home’s Honey Jar', 'The Mother and Daughter-in-Law', 'Mask', 'Mother’s Garden']"
Hong Eun Taek,"['Hong Hyun Tae', 'My Little Baby', 'Bubblegum', 'Remember You', 'The Full Sun', 'Let’s Eat', 'The Master’s Sun', 'Rascal Sons']"
Hong Geun Ha,['I’m Alive']
Hong Hak Pyo,['Dandelion Family']
Hong Hee Won,"['Life on Mars', 'Miss Hammurabi', 'Wok of Love', 'Nothing to Lose', 'Money Flower', 'Mad Dog', 'Untouchable', 'Sweet Enemy']"
Hong Hyun Taek,"['Hong Eun Tae', 'Remember You', 'The Full Sun', 'Kings Family', 'Wonderful Mama', 'Rascal Sons', 'Golden Time', 'The Moon That Embraces the Sun', 'You Who Rolled In Unexpectedly', 'Ojakgyo Brothers', 'Me Too, Flower!', 'Hooray for Love']"
Hong Il Kwon,"['Madam Cha Dal Rae’s Love', 'Love to the End', 'TV Novel – Dal Soon’s Spring', 'Jingbirok', 'Into the Flames', 'TV Novel – Eun Hee', 'King’s Dream', 'I’ll Give You The Stars and The Moon', 'The Princess’ Man', 'Freedom Fighter, Lee Hoe Young', 'God of Study', 'Smile, You', 'Wife and Woman', 'Hometown over the Hill', 'As the River Flows']"
Hong In,"['Bad Papa', 'My Mister']"
Hong Jin Ho,['Apgujeong Midnight Sun']
Hong Jong Hyun,"['My Absolute Boyfriend', 'Mother of Mine', 'The King Loves', 'Moon Lovers – Scarlet Heart: Ryeo', 'Yumi’s Room', 'Mama – Nothing to Fear', 'Why I’m Getting Married', 'Her Lovely Heels', 'Dating Agency: Cyrano', 'Jeon Woo Chi', 'Beloved', 'Hero', 'Wild Romance', 'Vampire Idol', 'Warrior Baek Dong Soo', 'White Christmas', 'Jungle Fish 2', 'Oh! My Lady', 'Heading to the Ground']"
Hong Ki Joon,"['Kingdom', 'Thirty But Seventeen', 'Mystery Queen 2']"
Hong Kyung,"['Neighborhood Lawyer Jo Deul Ho 2: Crime and Punishment', 'Live', 'Life on Mars', 'Just Between Lovers', 'Jugglers', 'While You Were Sleeping', 'School 2017', 'Mystery Queen']"
Hong Kyung In,"['Voice Season 2', 'Your Noir', 'Mother’s Island', 'Fantastic Tower', 'King Gwanggaeto the Great', 'Comrades', 'Queen Seon Duk', 'Robber', 'Daemang']"
Hong Kyung Min,"['The Best Hit', 'Producer', 'A Better Tomorrow', 'Trot Lovers', 'I Do, I Do', 'The Strongest K-POP Survival', 'The Person I Love', 'Love Can’t Wait', 'Fugitive Lee Doo Young']"
Hong Seo Joon,"['Short', 'Witch’s Court', 'Missing Nine', 'The Gentlemen of Wolgyesu Tailor Shop', 'I’m Sorry Kang Nam Goo', 'The Sound of Your Heart', 'You Are a Gift', 'Working Mom Parenting Daddy', 'The Good Wife', 'All About My Mom']"
Hong Seung Bum,"['My Strange Hero', 'Come and Hug Me', 'Between Friendship and Love 3', 'Number Woman Gye Sook Ja', 'Judge vs. Judge']"
Hong Soon Chang,"['The Best Chicken', 'Suspicious Family', 'Call of the Country', 'High Kick Through The Roof', 'Don’t Be Swayed', 'Life Special Investigation Team', 'First Wives Club', 'Unstoppable High Kick']"
Hong Suk Chun,"['My Absolute Boyfriend', 'Room No. 9', 'Lovely Horribly', 'The Player', 'Suspicious Partner', 'Saimdang, Light’s Diary', 'Sweet Stranger and Me', 'Doctors', 'Ms. Temper & Nam Jung Gi', 'Please Come Back, Mister', 'Riders: Catch Tomorrow', 'Because It’s the First Time', 'Yumi’s Room', 'Late Night Restaurant', 'The Time We Were Not In Love', 'Masked Prosecutor', 'My Secret Hotel', 'Everybody, Kimchi!', 'Triangle', 'Answer Me 1994', 'A Tale of Two Sisters', 'Vampire Prosecutor 2', 'Dummy Mommy', 'Saving Madame Go Bong Shil', 'Jung Yak Yong', 'Assorted Gems', 'Swallow the Sun', 'That Fool', 'Aeja’s Older Sister, Minja', 'Life Special Investigation Team', 'Golden Bride', 'Kid Gang', 'Hyena', 'Sad Love Song']"
Hong Suk Youn,"['Flower of the Queen', 'Everything Will Be OK', 'Yoo Na’s Street']"
Hong Sung Duk,"['Voice', 'TV Novel – My Mind’s Flower Rain']"
Hong Tae Ui,"['Strong Family 2017', 'Second To Last Love', 'Valid Love', 'Pluto Secret Society', 'The King’s Face', 'Ice Adonis']"
Hong Yo Seob,"['It’s My Life', 'My Golden Life', 'Lovers in Bloom', 'Yeah, That’s How It Is', 'Shining Romance', 'My Daughter Seo Yeong', 'Just Like Today', 'President', 'Definitely Neighbors', 'Everybody Cha Cha Cha', 'Ja Myung Go', 'By Land and Sky', 'Seoul 1945', 'She Is Nineteen', 'Successful Story of a Bright Girl']"
Hoon,"['U-kis', 'Nameless Woman', 'Sweet Home, Sweet Honey', 'Pretty Man', 'Holyland', 'I Am Legend']"
Hoya,"['Devilish Joy', 'Two Cops', 'Radiant Office', 'Strong Family 2017', 'Mask', 'She’s So Lovable', 'Answer Me 1994', 'Reply 1997']"
Hu Joon Ho,"['The Player', 'Come and Hug Me', 'Ruler: Master of the Mask', 'Beautiful Mind', 'Lobbyist', 'Jumong', 'Precious Family', 'Into the Storm', 'All In', '2018 MBC Drama Award', '2018 MBC Drama Award', '2nd The Seoul Award']"
Huh Jung Min,"['Top Star Yoo Baek', '100 Days My Prince', 'That Man Oh Soo', 'Go Back Couple', 'Introverted Boss', 'Another Miss Oh', 'Everything Will Be OK', 'Shine or Go Crazy', 'TV Novel – Single Minded Dandelion', 'Marriage Without Dating', 'Pluto Secret Society', 'Outlasting Happiness', 'All About My Romance', 'King’s Dream', 'Little Mom Scandal', 'Chunja’s Happy Events', 'Legend of Hyang Dan', 'Capital Scandal', 'Mr Goodbye', 'The Youth in Bare Foot', 'Princess Lulu', 'She Is Nineteen', 'The Bean Chaff Of My Life', 'Something About 1%', 'My Love Patzzi']"
Hwan Hee,"['Lee Jang Wo', 'Stormy Lovers', 'I Love You', 'Over the Rainbow']"
Hwang Bum Shik,"['My Dear Cat', 'Doctor Stranger', 'Gu Am Heo Joon', 'Dae Wang Sejong', 'Hometown over the Hill', 'Golden Apple', 'The Immortal Lee Soon-Shin']"
Hwang Byung Gook,"['Children of a Lesser God', 'Eating Existence', 'Panda and Hedgehog']"
Hwang Chan Sung,"['2P', 'Touch Your Heart', 'What’s Wrong With Secretary Kim', 'Seven Day Queen', 'Suspicious Partner', 'Romantic Doctor, Teacher Kim', 'Ms. Temper & Nam Jung Gi', 'Dream Knight', 'Your Noir', '7th Grade Civil Servant', 'Kaito Royale', 'Dream High Season 1', 'Unstoppable High Kick']"
Hwang Chan Woo,"['Korean Peninsula', 'Sungkyunkwan Scandal']"
Hwang Choon Ha,['My Secret Hotel']
Hwang Dong Joo,"['Item', 'Shall We Live Together', 'Father, I’ll Take Care of You', 'The Great Wives', 'Cuckoo Nest', 'Everybody, Kimchi!', 'Doctor Stranger', 'Wonderful Mama', 'It Was Love', 'SOS – Save Our School', 'Unexpected You', 'The Sound of My Wife Breathing', 'King Geunchogo', 'Daring Women', 'Lotus Flower Fairy']"
Hwang Jae Won,"['Twelve Nights', 'Six Flying Dragons', 'Modern Farmer', 'The Strange Housekeeper', 'Wonderful Mama', 'Can We Get Married ?']"
Hwang Je Sung,['Golden Tower']
Hwang Kwang Hee,"['ZE:', 'What Happens to My Family?', 'To the Beautiful You', 'Standby', 'You Who Rolled In Unexpectedly', 'Salamander Guru', 'Vampire Idol', 'Crime Squad', 'Gloria', 'Please Marry Me', 'Prosecutor Princess', 'sourc']"
Hwang Min Ho,"['Hyde Jekyll, Me']"
Hwang Sang Kyung,"['Han Yeo Reum’s Memory', 'Voice', 'Goblin', '38 Task Force']"
Hwang Tae Kwang,"['Beautiful World', 'Suits', 'Lookout', 'Beautiful Mind', 'Signal', 'D-Day', 'Yoo Na’s Street', 'Plus Nine Boys', 'Stroke of Luck']"
Hyuk,['Special Laws of Romance']
Hyun Bin,"['Memories of the Alhambra', 'Hyde, Jekyll and I', 'Secret Garde', 'Friend, Our Legen', 'The World That They Live I', 'The Snow Quee', 'My Name is Kim Sam-Soo', 'Irelan', 'Bodyguar']"
Hyun Bong Sik,"['The Ghost Detective', 'Five Children', 'Kidnapping Assemblyman Mr. Clean']"
Hyun Chul Ho,"['Women’s Secret', 'Mrs. Cop 2', 'Triangle', 'The Blade and Petal', 'Gu Am Heo Joon', 'Poseidon', 'King Geunchogo', 'Swallow the Sun']"
Hyun Jin Young,['Love Cells']
Hyun Suk,"['I’m Sorry Kang Nam Goo', 'Into the Flames', 'Panda and Hedgehog', 'The Empress', 'You Are My Destiny', 'I Love You', 'Hwang Jin Yi', 'Miracle', 'Love Can’t Wait', 'Dear Heaven', 'Romance', 'Glass Slippers']"
Hyun Suk Joon,"['TV Novel – The Stars Are Shining', 'TV Novel – Land Of Gold', 'The Queen’s Classroom', 'Marry Me, Mary!']"
Hyun Woo,"['Dazzling', 'Witch’s Love', 'Bravo My Life', 'Radiant Office', 'Laurel Tree Tailors', 'Jackpot', 'Awl', 'Yumi’s Room', 'A Cat! Meow', 'Gap Dong', 'Taste of Curry', 'Ugly Alert', 'The Virus', 'I Live in Cheongdam Dong', 'Deep Rooted Tree', 'Hair Show', 'Call of the Country', 'Pasta', 'Dream', 'Tae Hee, Hye Kyo, Ji Hyun', '2016 KBS Drama Award']"
Hyun Woo Sung,"['Good Person', 'Stormy Woman', 'Cuckoo Nest', 'Noble Woman', 'Yellow Boots', 'Heaven’s Garden', 'You’re So Pretty', 'Three Sisters']"
Im Baek Chun,['Love & Secret']
Im Byung Ki,"['Fluttering Warning', 'Thirty But Seventeen', 'Lookout', 'The Jingbirok: A Memoir of Imjin War', 'Pinocchio', 'Bride of the Century', 'Horse Doctor', 'Immortal Classic', 'Syndrome', 'Gwanggaeto, The Great Conqueror', 'The Iron Empress', 'Dae Jo Young']"
Im Chae Moo,"['Gangnam Scandal', 'It’s My Life', 'Happy Sisters', 'The Shining Eun Soo', 'You Are a Gift', 'Apgujeong Midnight Sun', 'Cuckoo Nest', 'The Birth of a Family', 'Tasty Life', 'A Thousand Days’ Promise', 'Dangerous Woman', 'Smile, Dong Hae', 'Let’s Not Divorce', 'My Life’s Golden Age', 'Don’t Be Swayed', 'Mom Has Grown Horns', 'Unstoppable Marriage', 'Golden Bride', 'By My Side', 'The Person I Love', 'Smile Again', 'Dear Heaven', 'The Age of Heroes', 'Bodyguard', 'Thousand Years of Love']"
Im Chang Jung,"['Dazzling', 'Witch’s Court', 'Stroke of Luck', 'The Woman Who Still Wants To Marry']"
Im Chul Hyung,"['Wise Prison Life', 'Jang Yeong Sil', 'Vampire Prosecutor 2']"
Im Dae Ho,"['The Merchant: Gaekju 2015', 'City of the Sun', 'Jung Do Jun', 'Wife Scandal', 'King Gwanggaeto the Great', 'The Duo', 'Working Mom', 'New Wise Mother, Good Wife', 'The Book of Three Han', 'The Immortal Lee Soon-Shin', 'All In', 'Into the Sun', 'Love Rollercoaster']"
Im Do Gyoo,"['My Healing Love', 'Money Flower', 'Witch’s Court', 'Tunnel', 'Yong Pal', 'She Was Pretty', 'Love Frequency 37.2', 'Warrior Baek Dong Soo', 'It’s Okay, Daddy’s Girl']"
Im Dong Jin,"['Im Yae Wo', 'Jang Yeong Sil', 'Jingbirok', 'Dae Jo Yeong']"
Im Doo Hwan,['My Man’s Secret']
Im Ha Ryong,"['Save Me 2', 'When Time Stops', 'Mama Fairy and the Woodcutter', 'Another Miss Oh', 'Ms. Temper & Nam Jung Gi', 'Time of Miracle: Loss Time', 'Valid Love', 'Cheongdamdong Scandal', 'Glorious Day', 'Triangle', 'The Women’s Room', 'The 3rd Hospital', 'Haeundae Lovers', 'Me Too, Flower!', 'More Charming by the Day', 'Strongest Chil Woo', 'Over the Rainbow']"
Im Ho,"['Haechi', 'Blessing of the Sea', 'TV Novel – Dal Soon’s Spring', 'Teacher Oh Soon Nam', 'The Flower in Prison', 'Page Turner', 'The Merchant: Gaekju 2015', 'TV Novel – The Stars Are Shining', 'Hwajung', 'What’s With This Family?', 'Jung Do Jun', 'Your Woman', 'I Love Lee Tae Ri', 'Suspicious Family', 'King Gwanggaeto the Great', 'You Don’t Know Women', 'The Man Who Can’t Get Married', 'Queen Seon Duk', 'The Painter of the Wind', 'Strongest Chil Woo', 'Why Did You Come to My House', 'Kid Gang', 'Dae Jo Yeong', 'Love is All Around', 'The Woman Who Wants to Marry', 'Dae Jang Geum', '2015 KBS Drama Award']"
Im Hyuk,"['Jang Yeong Sil', 'Jingbirok', 'Princess Aurora', 'King’s Dream', 'New Tales of Gisaeng', 'Giant', 'Merchant Kim Man Deok', 'Empress Chun Chu', 'Strongest Chil Woo', 'Dae Jo Yeong', 'Shin Don', 'King’s Woman']"
Im Hyuk Pil,"['Sincerity Moves Heaven', 'Cinderella Man']"
Im Hyun Sik,"['Doubtful Victory', 'Jackpot', 'My Heart Twinkle Twinkle', 'Yoo Na’s Street', 'The Firstborn', 'Arang and the Magistrate', 'Suspicious Family', 'Salaryman Chohanji', 'If Tomorrow Comes', 'Gye Baek', 'The Duo', 'Pure Pumpkin Flower', 'Dae Mul', 'My Girlfriend is a Nine-Tailed Fox', 'I Am Legend', 'Creating Destiny', 'Can Anyone Love', 'Tazza', 'Chunja’s Happy Events', 'Powerful Opponents', 'Life Special Investigation Team', 'Yi San', 'The Innocent Woman', 'Legend of Hyang Dan', 'Mun Hee', '101st Proposal', 'The Book of Three Han', 'Bad Family', 'Fugitive Lee Doo Young', 'Ballad Of Suh Dong', 'Love Hymn', 'Old Miss Diary', 'The Age of Heroes', 'Desert Spring', 'Dae Jang Geum', 'My Fair Lady', 'All In', 'Sunshine']"
Im Hyun Sung,"['Untouchable', 'Mirror of the Witch', 'Heaven’s Promise', 'To Be Continued', 'Hidden Identity', 'Punch', 'House Maids', 'Wife Scandal', 'Emergency Man and Woman', 'Dandelion Family', '2009 Alien Baseball Team']"
Im Hyung Joon,"['Criminal Minds', 'The Merchant: Gaekju 2015', 'Angry Mom', 'Love Cells', 'Fated to Love You', 'Wonderful Days', 'Inspiring Generation', 'Dating Agency: Cyrano', 'Birth Secret', 'Childless Comfort', 'The 3rd Hospital', 'IRIS', 'Robber', 'Don’t Ask Me About the Past']"
Im Je Noh,"['TV Novel – In Still Green Days', 'Your Neighbor’s Wife', 'The Queen’s Classroom', 'A Wife’s Credentials', 'God’s Quiz', 'Boy Meets Girl', 'Chosun Police 3', 'Bad Guy', 'That Person Is Coming']"
Im Ji Kyu,"['Her Private Life', 'Fates and Furies', 'Your House Helper', 'Radio Romance', 'The Reason Why We Can’t Sleep', 'Go Back Couple', 'Home Sweet Home', 'The Shining Eun Soo', 'Fantastic', 'Time of Miracle: Loss Time', 'I’ve Got My Eye On You', 'Assembly', 'The King’s Face', 'God’s Gift – 14 Days', 'The Suspicious Housekeeper', 'Do You Know Taekwondo?', 'Ghost', 'The Greatest Love', 'Queen of Reversals', 'Severed Feelings', 'Partner', 'Tazza', 'Unstoppable High Kick']"
Im Jong Yoon,"['Because It’s The First Time', 'Hidden Identity', 'Soldier', 'Giant']"
Im Ju Hwan,"['Different Dreams', 'Such a Long Farewell', 'Bride of the Water God', 'Uncontrollably Fond', 'Oh My Ghost', 'Shine or Go Crazy', 'Ugly Alert', 'What’s Up?', 'Doenjang-gun and Natto-jjang’s Marriage War', 'Tamra, The Island', 'Boys Before Flowers', 'Single Dad in Love', 'Kid Gang', 'The Snow Queen', 'A Love to Kill', 'Magic', '2013 SBS Drama Award']"
Im Ki Hong,"['Big Forest', 'Lawless Lawyer']"
Im Ki Hyuk,"['Triangle', 'Poseidon']"
Im Seul Ong,"['Mrs. Cop 2', 'Love Cells 2', 'Ho Goo’s Love', 'Hotel King', 'Mandate of Heaven', 'Welcome to the Show', 'Personal Preference']"
Im Seung Dae,"['The Banker', 'To You Who Begins to Love', 'Mad Dog', 'Lookout', 'You’re All Surrounded', 'A New Leaf', 'Big Man', 'Angel Eyes', 'Ten 2', 'I Hear Your Voice', 'Jang Ok Jung, Living in Love', 'Gu Am Heo Joon', 'I Do, I Do', 'Soldier', 'Five Fingers', 'TV Novel Bok Hee', 'Poseidon', 'My Love By My Side', 'I Believed in Men', 'Sign', 'Coffee House', 'Call of the Country', 'Obstetrics and Gynecology Doctors', 'Father’s Place', 'Three Brothers', 'Heading to the Ground', 'Partner', 'Spotlight', 'Queen of Ahyun', 'The Devil']"
Im Tae Kyung,['Misty']
Im Won Hee,"['Room No. 9', 'Wok of Love', 'Strong Woman Do Bong Soon', 'Legend of the Blue Sea', 'Romantic Doctor, Teacher Kim', 'You’re All Surrounded', 'Dating Agency: Cyrano', 'Syndrome', 'Salamander Guru and the Gang', 'Comrades', '2018 SBS Drama Award']"
Im Yoon Ho,"['Gangnam Scandal', 'Goodbye Mr. Black', 'Best Couple', 'Prince Of Prince', 'The Wind Blows to the Hope', 'Iron Lady Cha', 'God’s Quiz 4', 'Wife Scandal', 'Sincerity Moves Heaven', '7th Grade Civil Servant']"
Im Young Pil,['Sungkyunkwan Scandal']
In Gyo Jin,"['So Yi Hyu', 'Feel Good To Die', 'When Time Stops', 'After the Rain', 'Jugglers', 'Girls’ Generation 1979', 'Third-Rate My Way', 'Perfect Wife', 'Entourage', 'Baek Hee Has Returned', 'Sassy Go Go', 'Make a Woman Cry', 'Birth of a Beauty', 'Tears of Heaven', 'Cunning Single Lady', 'Lee Sang That Lee Sang', 'Good Doctor', 'Gu Am Heo Joon', 'Horse Doctor', 'I Need Romance 2012', 'If Tomorrow Comes', 'Miss Ajumma', 'Queen Seon Duk', 'Aeja’s Older Sister, Minja', 'How Much Love', 'That Summer Typhoon', '2018 KBS Drama Award']"
In Seong,['20th Century Boy and Girl']
In Sung,"['Aquarius', 'Hong Gil Dong', 'Sad Goodbye']"
Jae Hee,"['Blessing of the Sea', 'Voice Season 2', 'You Are Too Much', 'Vampire Detective', 'Save the Family', 'The Firstborn', 'Jang Ok Jung', 'May Queen', 'Color of Women', 'Hometown Legends', 'One Mom and Three Dads', 'Witch Amusement', 'My Girl', 'Delightful Girl Choon Hyang', '2012 MBC Drama Award']"
Jae Ho,"['Grand Prince', 'The King Loves']"
Jang Do Yoon,"['Drinking Solo', 'The Good Wife', 'Heaven’s Promise', 'Bird That Doesn’t Cry', 'Happy! Rose Day']"
Jang Dong Gun,"['Ko So Youn', 'Suits', 'A Gentleman’s Dignity', '2018 KBS Drama Award', '2012 SBS Drama Award', '2012 SBS Drama Award']"
Jang Dong Jik,"['Here Comes Love', 'Triangle', '3 Days', 'King’s Dream', 'Poseidon', 'Kim Soo Ro', 'IRIS', 'Empress Chun Chu', 'Money’s Warfare', 'Outrageous Women', 'My Rosy Life', 'Old Miss Diary']"
Jang Dong Min,"['Sweden Laundry', 'Jung Yak Yong']"
Jang Dong Yoon,"['Dance Sports Girls', 'Mr. Sunshine', 'A Poem a Day', 'If We Were a Season', 'School 2017', 'Solomon’s Perjury', '2018 KBS Drama Award']"
Jang Eul Soo,"['He Is Psychometric', 'Bad Papa']"
Jang Eun Poong,"['Miss Mamma Mia', 'Secret Door', 'God’s Gift – 14 Days', 'Good Doctor', 'The Great Seer', 'The Thorn Birds', 'Wife Returns', 'Il Ji-Mae', 'The Innocent Woman', 'Terms of Endearment']"
Jang Hang Joon,"['Pinocchio', 'Potato Star 2013QR3', 'You Who Came From the Stars', 'I Need a Fairy', 'The Greatest Love', 'Sign', 'Harvest Villa']"
Jang Hang Sun,"['Kim Hyu', 'Pride and Prejudice', 'Big Man', 'Full House Take 2', 'Bachelor’s Vegetable Store', 'Padam Padam… The Sound of His and Her Heartbeats', 'Crime Squad', 'I Am Legend', 'Gumiho: Tale of the Fox’s Child', 'King of Baking, Kim Tak Goo', 'Jejoongwon', 'A Man’s Story', 'Fight', 'The Legend', 'Lovers', 'Yeon Gae Somun', 'Seoul 1945', 'Three Leaf Clover', 'Rosemary', 'Scent of a Man', 'Winter Sonata']"
Jang Hee Woong,"['Cross', 'Good Person', 'Love & Secret', 'Gap Dong', 'The Prime Minister and I', 'I Hear Your Voice', 'Horse Doctor', 'Queen Insoo', 'Gye Baek', 'Queen Seon Duk', 'Yi San', 'The Book of Three Han']"
Jang Ho Il,"['Riders: Catch Tomorrow', 'Heard It Through the Grapevine', 'Blue Bird']"
Jang Hyo Jin,"['Jung Yi, The Goddess of Fire', 'Like a Fairytale', 'Terroir', 'Just Run!', 'The Book of Three Han']"
Jang Hyuk,"['Bad Papa', 'Wok of Love', 'Money Flower', 'The Best Hit', 'Voice', 'Beautiful Mind', 'The Merchant: Gaekju 2015', 'Producer', 'Shine or Go Crazy', 'Love Cells', 'Old Goodbye', 'Fated to Love You', 'IRIS 2', 'Deep Rooted Tree', 'Midas', 'Chun', 'Tazz', 'Robber', 'Thank You', 'Daemang', 'Successful Story of a Bright Girl', '2017 MBC Drama Award', '2015 KBS Drama Award', '2015 KBS Drama Award', '2014 MBC Drama Award', '2014 MBC Drama Award', '2011 SBS Drama Award', '2011 SBS Drama Award']"
Jang Hyuk Jin,"['Possessed', 'Praise of Death', 'Lovely Horribly', 'Exit', 'Live', 'Return', 'Wise Prison Life', 'Mad Dog', 'Save Me', 'Suspicious Partner', 'Perfect Wife', 'Romantic Doctor, Teacher Kim', 'Rude Miss Young Ae 15', 'Beautiful Mind', 'Signal', 'Late Night Restaurant', 'Hwajung', 'Misaeng', 'Reset', 'Mischievous Kiss', 'Chosun Police']"
Jang Hyun Sung ,"['Doctor Prisoner', 'Praise of Death', 'Dance Sports Girls', 'Twelve Nights', 'Where Stars Land', 'Live', 'Doubtful Victory', 'Temperature of Love', 'While You Were Sleeping', 'Seven Day Queen', 'Man to Man', 'Woman with a Suitcase', 'Doctors', 'Dear My Friends', 'Mrs. Cop 2', 'Signal', 'Cheo Yong 2', 'Assembly', 'Heard It Through the Grapevine', 'Punch', 'Secret Door', 'Secret Love Affair', '3 Days', 'Who Are You?', 'Goddess of Marriage', 'The End of the World', 'The King of Dramas', 'Five Fingers', 'Big', 'Ghost', 'A Wife’s Credentials', 'Salaryman Chohanji', 'For the Sake of Son', 'A Thousand Days’ Promise', 'Vampire Prosecutor', 'Sign', 'Pure Pumpkin Flower', 'Gumiho: Tale of the Fox’s Child', 'Jejoongwon', 'The Tale of Janghwa and Hongryeon', 'City of Glass', 'The Scale of Providence', 'New Heart', 'Seoul’s Sad Song', 'Golden Era of Daughter in Law', 'White Tower', 'My Love', 'Great Inheritance', 'Precious Family', 'Terms of Endearment', 'Rosemary', '2015 SBS Drama Award', '2013 SBS Drama Award']"
Jang In Sub,"['Devilish Joy', 'Suits', 'Mystery Queen 2', 'Happy Home', 'All About My Mom', 'Mrs. Cop', 'School 2015: Who Are You?', 'What Happens to My Family?', 'Secret Door', 'Angel’s Revenge', 'God’s Gift – 14 Days', 'TEN 2']"
Jang Jae Ho,"['Confession', 'TV Novel – Waves, Waves', '20th Century Boy and Girl', 'Good Person', 'My Unfortunate Boyfriend', 'Basketball', 'Bachelor’s Vegetable Store']"
Jang Jae Won,"['I Love You From Today', 'Everybody, Kimchi!', 'Gu Am Heo Joon']"
Jang Jung Yun,"['Priest', 'Witch’s Court']"
Jang Keun Suk,"['Switch: Change the World', 'A Korean Odyssey', 'Jackpot', 'Pretty Man', 'Love Rain', 'Mary Stayed Out All Nigh', 'You’re Beautifu', 'Beethoven Viru', 'Hong Gil Don', 'Hwang Jin Y', 'Alien Sam', 'Lovers in Prague', 'Daemang', 'Orange ', '2016 SBS Drama Award', '2016 SBS Drama Award']"
Jang Ki Ha,['Potato Star 2013QR3']
Jang Ki Yong (1956),['Dae Jo Yeong']
Jang Ki Yong (1992),"['Kill It', 'Touch Your Heart', 'Come and Hug Me', 'My Mister', 'Go Back Couple', 'The Boy Next Door', 'The Liar and His Lover', 'Love for a Thousand More', 'Beautiful Mind', 'We Broke Up', 'My Love Eun Dong', 'Seonam Girls High School Investigators', 'Greatest Marriage', 'It’s Okay, That’s Love', '2018 MBC Drama Award', '6th APAN Star Award']"
Jang Kwang,"['Mung Bean Flower', 'The Crowned Clown', 'About Time', 'Mystery Queen 2', 'Children of a Lesser God', 'Cross', 'A Korean Odyssey', 'Bad Thief, Good Thief', 'Teacher Oh Soon Nam', 'Mystery Queen', 'Defendant', 'Moonlight Drawn by Clouds', 'Jang Young Shil', 'Memory', 'Moorim School', 'Yong Pal', 'Hwajung', 'Missing Noir M', 'Unkind Women', 'Super Daddy Yeol', 'Pinocchio', 'Fated to Love You', 'Grandpas Over Flowers Investigation Team', 'Gap Dong', 'Jung Yi, The Goddess of Fire', 'All About My Romance', 'Bridal Mask']"
Jang Kyung Yeob,"['Nightmare Teacher', 'God’s Quiz 4']"
Jang Mi Kwan,"['Manhole: Feel So Good', 'Strong Woman Do Bong Soon']"
Jang Myung Kap,"['38 Task Force', 'Make a Woman Cry']"
Jang Se Hyun,"['Risky Romance', 'School 2017', 'Hwarang: The Beginning', 'Blow Breeze', 'Live Shock', 'Mrs. Cop', 'Tomorrow Cantabile', 'High Schooler King of Life', 'God’s Quiz 4', 'Flower Grandpa Investigative Team', 'Sungkyunkwan Scandal', 'Boys Before Flowers', 'Unstoppable High Kick']"
